t,neuron
435,3650
435,4950
435.3,4250
435.4,50
435.5,3750
435.7,5150
435.8,7850
435.9,3550
436,9850
436,9950
436.2,12050
436.8,5350
436.8,11850
436.9,10950
437,4450
437,9750
437,10150
437.1,10750
437.1,11250
437.2,2150
437.2,8850
437.4,8250
437.5,3150
437.5,5650
437.6,2750
437.6,6150
437.6,6850
437.6,6950
437.6,9150
437.6,12250
437.6,12450
437.7,10450
437.8,2550
438,3050
439,950
439.1,2050
439.1,4550
439.1,8050
439.1,8350
439.1,9450
439.1,11450
439.2,6350
439.2,10850
439.3,2250
440.6,1050
440.8,5750
440.9,11550
441,1550
442.1,5450
443.1,1850
443.1,5850
443.3,7150
443.4,9050
443.5,8950
444.2,1750
465.6,4850
473.5,2650
477.2,750
478.7,3950
479.2,10650
479.6,5950
479.7,11850
479.9,3050
480,10550
480.2,10450
480.5,10050
481.1,3550
481.1,4150
481.3,4550
481.5,3750
481.5,7750
481.5,11350
481.8,2850
481.9,9150
482,8850
482.2,5550
482.3,5650
482.7,9750
482.8,2350
482.8,4450
482.8,6450
482.9,10350
482.9,12250
482.9,12450
483,6550
483,6650
483,11650
483.1,350
483.1,6950
483.2,8450
483.3,4250
483.3,4750
483.3,8350
483.3,11550
483.5,650
483.5,5350
483.7,7850
483.7,7950
483.8,11950
483.9,6250
484,9450
484.1,1750
484.2,11050
484.3,1950
484.4,50
484.5,3250
484.5,5750
484.5,9650
484.6,1050
484.6,2250
484.6,12150
485,5450
485,8250
485.1,150
485.2,950
485.2,1850
485.2,3450
485.2,4650
485.3,2050
485.8,6850
485.9,5150
486,8650
486,10250
486.2,2750
486.2,6350
486.5,10150
486.6,2950
486.6,8950
486.9,1550
487.2,9850
488.1,550
489,1350
491.1,8150
492.6,1450
492.7,3550
494,2150
494.3,3050
509.9,6750
521.9,4750
521.9,6150
522.3,7350
529.5,12450
534,5450
537,7650
539.6,1350
542.5,50
542.6,4550
547.8,3650
548.5,3150
548.7,5050
548.8,450
549.1,7250
549.3,7150
549.3,10150
549.5,2850
549.6,1750
549.7,1550
549.7,2050
549.7,6350
549.7,7550
549.8,11850
550,2250
550,12050
550.7,3550
550.7,6650
550.9,5750
551,4450
551.1,650
551.1,3750
551.1,3950
551.1,7750
551.1,9750
551.1,10250
551.2,750
551.2,2550
551.2,3350
551.2,5150
551.2,5350
551.2,9050
551.2,11550
551.2,11950
551.3,1250
551.3,5550
551.5,12250
551.6,8950
551.6,11150
551.6,11450
551.7,2650
551.7,8050
551.7,10450
551.8,2450
551.8,6450
551.9,8450
552,6750
552.2,4750
552.4,6850
552.6,950
552.6,1950
552.7,11750
552.8,1150
553,3450
553.3,3850
553.3,8650
553.3,10950
553.5,3050
553.5,12450
553.6,12150
553.8,2150
553.8,2950
553.8,6950
553.8,8150
554.4,1350
554.4,10850
555.1,350
555.6,1450
556.6,8250
557.1,1050
583.3,4150
591.6,10550
592.5,550
592.6,5950
594.3,750
602.8,1550
603,1350
603.2,3550
603.3,6350
603.8,6850
605.2,1450
605.2,6250
605.2,10750
605.2,11650
605.3,5350
605.3,7850
605.5,9550
605.6,350
605.6,6550
605.6,6950
606.4,8650
606.5,4750
606.8,1750
606.8,7450
